city,latitude,longitude,forecast_time,temperature_c,humidity_pct
Tbilisi,41.505,45.3086,2026-08-06T10:00:00+00:00,-0.44,24.57
Telavi,41.1482,44.1472,2026-08-06T11:00:00+00:00,-2.86,30.44
Kutaisi,41.1704,42.241,2026-08-06T12:00:00+00:00,17.32,49.13
Batumi,42.5514,42.9019,2026-08-06T13:00:00+00:00,31.34,40.81
Telavi,41.6108,44.1051,2026-08-06T14:00:00+00:00,19.39,71.81
Batumi,42.251,42.3232,2026-08-06T15:00:00+00:00,-1.75,36.79
Tbilisi,41.3131,43.0426,2026-08-06T16:00:00+00:00,22.57,52.89
Tbilisi,41.463,44.5348,2026-08-06T17:00:00+00:00,23.12,51.78
Batumi,42.8478,44.9391,2026-08-06T18:00:00+00:00,20.0,66.28
Batumi,41.8503,43.7228,2026-08-06T19:00:00+00:00,20.91,83.59
Batumi,41.1428,41.8296,2026-08-06T20:00:00+00:00,7.3,72.43
Kutaisi,41.8783,43.3435,2026-08-06T21:00:00+00:00,7.16,48.18
Kutaisi,42.0009,43.469,2026-08-06T22:00:00+00:00,-1.78,22.79
Telavi,42.4691,44.0186,2026-08-06T23:00:00+00:00,-3.97,36.02
Tbilisi,42.9991,44.3614,2026-08-07T00:00:00+00:00,5.78,22.82
Batumi,41.941,44.2575,2026-08-07T01:00:00+00:00,31.64,32.7
Telavi,42.2696,43.4586,2026-08-07T02:00:00+00:00,-1.35,44.36
Kutaisi,41.6421,41.523,2026-08-07T03:00:00+00:00,1.43,48.82
Telavi,41.5764,45.726,2026-08-07T04:00:00+00:00,27.54,58.51
Telavi,41.1761,42.262,2026-08-07T05:00:00+00:00,-0.36,74.08
Tbilisi,42.3153,43.713,2026-08-07T06:00:00+00:00,11.53,33.13
Kutaisi,42.2453,43.4925,2026-08-07T07:00:00+00:00,12.68,23.61
Kutaisi,42.0984,45.6384,2026-08-07T08:00:00+00:00,12.52,68.88
Tbilisi,41.0577,44.1501,2026-08-07T09:00:00+00:00,26.97,69.68
Kutaisi,42.1017,43.7613,2026-08-07T10:00:00+00:00,-1.27,89.46
Tbilisi,41.9229,41.5873,2026-08-07T11:00:00+00:00,28.29,54.89
Kutaisi,42.0177,42.3671,2026-08-07T12:00:00+00:00,28.39,88.62
Batumi,41.9136,41.7232,2026-08-07T13:00:00+00:00,2.62,61.96
Batumi,42.7281,42.3812,2026-08-07T14:00:00+00:00,26.6,49.05
Kutaisi,42.6411,42.4142,2026-08-07T15:00:00+00:00,6.94,61.09
Telavi,42.7305,43.2327,2026-08-07T16:00:00+00:00,14.37,43.27
Telavi,41.9107,42.6089,2026-08-07T17:00:00+00:00,2.55,68.82
Telavi,41.4671,44.8777,2026-08-07T18:00:00+00:00,-3.25,72.13
Telavi,41.7722,44.3184,2026-08-07T19:00:00+00:00,27.83,88.66
Telavi,42.9296,41.6312,2026-08-07T20:00:00+00:00,33.61,43.24
Tbilisi,42.7484,43.2015,2026-08-07T21:00:00+00:00,16.04,51.98
Batumi,41.82,44.2739,2026-08-07T22:00:00+00:00,1.17,52.86
Kutaisi,41.6771,44.4635,2026-08-07T23:00:00+00:00,20.99,79.62
Telavi,42.9083,44.134,2026-08-08T00:00:00+00:00,30.5,54.16
Tbilisi,42.2349,42.1739,2026-08-08T01:00:00+00:00,22.38,40.12
Batumi,42.4935,43.1699,2026-08-08T02:00:00+00:00,-1.06,64.36
Tbilisi,41.8874,44.47,2026-08-08T03:00:00+00:00,31.14,23.22
Tbilisi,41.5867,42.8742,2026-08-08T04:00:00+00:00,0.82,57.18
Batumi,41.34,41.3948,2026-08-08T05:00:00+00:00,29.83,63.38
Batumi,41.9953,43.9158,2026-08-08T06:00:00+00:00,4.29,64.65
Telavi,41.5107,41.047,2026-08-08T07:00:00+00:00,27.19,83.08
Batumi,41.1477,45.7262,2026-08-08T08:00:00+00:00,34.51,40.94
Telavi,42.3806,43.2842,2026-08-08T09:00:00+00:00,7.08,89.96
Telavi,41.2133,42.9068,2026-08-08T10:00:00+00:00,9.36,40.71
Kutaisi,41.0439,45.1502,2026-08-08T11:00:00+00:00,10.83,20.57
Tbilisi,42.8212,44.7259,2026-08-08T12:00:00+00:00,28.31,83.21
Batumi,42.2141,42.7616,2026-08-08T13:00:00+00:00,20.46,63.46
Batumi,42.2565,45.517,2026-08-08T14:00:00+00:00,20.85,41.63
Telavi,41.0667,42.8243,2026-08-08T15:00:00+00:00,0.26,83.67
Kutaisi,42.495,41.8782,2026-08-08T16:00:00+00:00,0.29,57.76
Kutaisi,42.0617,45.5674,2026-08-08T17:00:00+00:00,28.22,37.99
Telavi,42.9348,42.4757,2026-08-08T18:00:00+00:00,29.82,76.3
Telavi,42.9258,41.7038,2026-08-08T19:00:00+00:00,33.66,80.21
Telavi,42.9345,45.0229,2026-08-08T20:00:00+00:00,9.63,75.35
Tbilisi,41.5289,41.6179,2026-08-08T21:00:00+00:00,9.74,72.43
Kutaisi,42.1691,45.1121,2026-08-08T22:00:00+00:00,32.61,27.58
Batumi,41.943,44.0977,2026-08-08T23:00:00+00:00,32.73,42.96
Batumi,42.2953,44.177,2026-08-09T00:00:00+00:00,13.57,69.08
Telavi,41.2334,41.2267,2026-08-09T01:00:00+00:00,-3.51,89.71
Tbilisi,41.1944,45.4363,2026-08-09T02:00:00+00:00,0.43,51.76
Telavi,42.1747,44.633,2026-08-09T03:00:00+00:00,30.42,65.84
Telavi,42.2313,45.6953,2026-08-09T04:00:00+00:00,6.19,68.32
Batumi,41.8868,45.7528,2026-08-09T05:00:00+00:00,29.22,26.95
Kutaisi,42.0889,45.8892,2026-08-09T06:00:00+00:00,9.35,47.87
Batumi,42.9364,45.7451,2026-08-09T07:00:00+00:00,27.97,26.42
Batumi,42.2834,43.9857,2026-08-09T08:00:00+00:00,-4.15,75.08
Batumi,42.9776,44.9349,2026-08-09T09:00:00+00:00,3.21,78.09
Batumi,42.1728,45.0653,2026-08-09T10:00:00+00:00,4.32,74.21
Tbilisi,41.5545,45.9201,2026-08-09T11:00:00+00:00,34.5,57.82
Batumi,41.2199,45.3322,2026-08-09T12:00:00+00:00,0.27,45.08
Batumi,42.1777,41.0789,2026-08-09T13:00:00+00:00,5.61,28.87
Telavi,42.0522,44.7283,2026-08-09T14:00:00+00:00,14.05,74.46
Tbilisi,41.904,42.1077,2026-08-09T15:00:00+00:00,19.6,70.91
Kutaisi,41.9161,45.8201,2026-08-09T16:00:00+00:00,-2.57,53.53
Telavi,41.8525,41.5398,2026-08-09T17:00:00+00:00,23.5,51.05
Tbilisi,41.6442,41.7417,2026-08-09T18:00:00+00:00,0.05,63.7
Kutaisi,41.7618,43.987,2026-08-09T19:00:00+00:00,6.8,55.39
Telavi,41.1984,44.5089,2026-08-09T20:00:00+00:00,29.11,65.56
Batumi,41.8601,45.4405,2026-08-09T21:00:00+00:00,11.55,77.92
Telavi,41.832,41.4754,2026-08-09T22:00:00+00:00,12.07,66.56
Kutaisi,42.9072,44.4341,2026-08-09T23:00:00+00:00,13.97,26.39
Tbilisi,41.1865,41.4828,2026-08-10T00:00:00+00:00,24.55,76.82
Tbilisi,42.1729,43.8079,2026-08-10T01:00:00+00:00,8.19,28.56
Kutaisi,42.7472,45.7056,2026-08-10T02:00:00+00:00,11.92,84.11
Tbilisi,42.9368,44.0021,2026-08-10T03:00:00+00:00,9.07,60.45
Batumi,41.3095,43.4109,2026-08-10T04:00:00+00:00,28.89,44.51
Kutaisi,41.2298,42.3928,2026-08-10T05:00:00+00:00,4.05,50.04
Tbilisi,42.218,44.2892,2026-08-10T06:00:00+00:00,22.74,22.03
Kutaisi,42.4054,42.5449,2026-08-10T07:00:00+00:00,8.59,20.43
Batumi,42.1326,43.0039,2026-08-10T08:00:00+00:00,0.67,64.32
Tbilisi,41.1835,43.6524,2026-08-10T09:00:00+00:00,10.05,51.76
Batumi,41.7401,44.608,2026-08-10T10:00:00+00:00,26.07,59.73
Tbilisi,42.7667,41.7779,2026-08-10T11:00:00+00:00,25.18,23.48
Tbilisi,41.5442,44.3097,2026-08-10T12:00:00+00:00,14.43,50.94
Kutaisi,41.4311,43.5617,2026-08-10T13:00:00+00:00,8.81,27.76
Telavi,42.0539,42.5421,2026-08-10T14:00:00+00:00,3.82,88.91
Tbilisi,41.0154,42.5071,2026-08-10T15:00:00+00:00,3.45,29.61
Kutaisi,41.5789,41.5999,2026-08-10T16:00:00+00:00,14.9,50.15
Batumi,41.7604,44.5184,2026-08-10T17:00:00+00:00,15.01,78.33
Kutaisi,41.1442,45.3088,2026-08-10T18:00:00+00:00,-3.31,21.31
Tbilisi,42.7242,43.8788,2026-08-10T19:00:00+00:00,17.94,69.66
Telavi,41.579,43.0252,2026-08-10T20:00:00+00:00,33.65,32.03
Telavi,42.6641,45.5988,2026-08-10T21:00:00+00:00,-1.47,79.11
Batumi,41.8714,43.0022,2026-08-10T22:00:00+00:00,-1.85,80.94
Kutaisi,41.4431,44.8956,2026-08-10T23:00:00+00:00,-1.94,64.33
Batumi,42.8118,42.7469,2026-08-11T00:00:00+00:00,24.1,77.33
Batumi,41.4725,41.7322,2026-08-11T01:00:00+00:00,2.89,62.17
Tbilisi,41.3543,44.8642,2026-08-11T02:00:00+00:00,14.76,72.81
Telavi,42.3623,45.4102,2026-08-11T03:00:00+00:00,20.72,89.06
Kutaisi,42.7285,44.1361,2026-08-11T04:00:00+00:00,1.04,24.78
Telavi,42.2628,44.9816,2026-08-11T05:00:00+00:00,18.66,44.64
Tbilisi,41.6208,43.2596,2026-08-11T06:00:00+00:00,-2.72,78.22
Tbilisi,42.2893,45.8868,2026-08-11T07:00:00+00:00,-1.39,61.59
Telavi,41.9254,43.7716,2026-08-11T08:00:00+00:00,26.67,82.71
Telavi,42.8181,43.8583,2026-08-11T09:00:00+00:00,2.53,62.35
Batumi,42.9154,43.2526,2026-08-11T10:00:00+00:00,27.44,78.62
Tbilisi,42.0091,41.8628,2026-08-11T11:00:00+00:00,4.91,50.64
Telavi,42.0481,44.049,2026-08-11T12:00:00+00:00,9.56,84.26
Telavi,41.8175,42.6918,2026-08-11T13:00:00+00:00,18.92,75.25
Kutaisi,41.1318,41.4725,2026-08-11T14:00:00+00:00,22.14,39.89
Batumi,41.6667,43.9137,2026-08-11T15:00:00+00:00,0.66,44.49
Telavi,41.2579,44.5442,2026-08-11T16:00:00+00:00,-1.61,59.12
Kutaisi,42.6264,44.3506,2026-08-11T17:00:00+00:00,28.16,71.71
Tbilisi,42.292,43.117,2026-08-11T18:00:00+00:00,9.47,45.38
Batumi,42.9023,42.7087,2026-08-11T19:00:00+00:00,25.65,33.44
Batumi,41.3099,42.479,2026-08-11T20:00:00+00:00,26.52,55.54
Tbilisi,42.3239,45.382,2026-08-11T21:00:00+00:00,19.72,61.81
Batumi,41.3245,45.1567,2026-08-11T22:00:00+00:00,25.84,76.63
Batumi,42.4424,41.2185,2026-08-11T23:00:00+00:00,9.57,70.37
Telavi,42.2212,44.762,2026-08-12T00:00:00+00:00,26.35,36.38
Batumi,41.6189,45.0431,2026-08-12T01:00:00+00:00,13.76,78.46
Kutaisi,42.3566,43.8521,2026-08-12T02:00:00+00:00,12.62,73.86
Telavi,42.0058,43.0933,2026-08-12T03:00:00+00:00,1.48,33.98
Batumi,42.746,41.2609,2026-08-12T04:00:00+00:00,14.22,45.98
Tbilisi,42.4228,43.5795,2026-08-12T05:00:00+00:00,-0.01,25.87
Batumi,41.5456,45.5265,2026-08-12T06:00:00+00:00,0.89,50.62
Batumi,42.6334,45.4231,2026-08-12T07:00:00+00:00,32.22,49.04
Telavi,42.004,42.1789,2026-08-12T08:00:00+00:00,34.78,46.24
Tbilisi,41.6374,41.4954,2026-08-12T09:00:00+00:00,23.59,43.47
Batumi,41.2752,42.4344,2026-08-12T10:00:00+00:00,28.19,68.73
Batumi,42.5177,43.3456,2026-08-12T11:00:00+00:00,19.61,83.41
Tbilisi,41.5118,45.1748,2026-08-12T12:00:00+00:00,16.95,70.91
Telavi,41.2224,42.4405,2026-08-12T13:00:00+00:00,7.05,23.34
Telavi,42.2779,44.1141,2026-08-12T14:00:00+00:00,-2.49,78.57
Telavi,42.1935,41.0822,2026-08-12T15:00:00+00:00,15.62,36.94
Batumi,41.5825,41.0078,2026-08-12T16:00:00+00:00,9.11,59.95
Batumi,42.3287,41.4281,2026-08-12T17:00:00+00:00,33.99,24.74
Tbilisi,41.7809,43.3507,2026-08-12T18:00:00+00:00,20.43,88.67
Kutaisi,42.4946,42.7855,2026-08-12T19:00:00+00:00,-2.3,36.88
Tbilisi,42.543,44.6759,2026-08-12T20:00:00+00:00,8.3,23.1
Kutaisi,42.627,41.8754,2026-08-12T21:00:00+00:00,26.17,52.52
Telavi,42.2635,45.0575,2026-08-12T22:00:00+00:00,-2.48,74.33
Telavi,41.074,42.008,2026-08-12T23:00:00+00:00,26.64,82.01
Kutaisi,42.8667,43.5769,2026-08-13T00:00:00+00:00,34.56,58.01
Kutaisi,41.0732,44.2345,2026-08-13T01:00:00+00:00,6.44,80.35
Tbilisi,42.7316,42.6596,2026-08-13T02:00:00+00:00,-0.02,45.76
Telavi,42.4866,45.4732,2026-08-13T03:00:00+00:00,10.47,88.16
Telavi,42.3841,42.8367,2026-08-13T04:00:00+00:00,26.89,38.67
Tbilisi,42.4542,41.3946,2026-08-13T05:00:00+00:00,19.1,77.56
Kutaisi,41.6424,41.4003,2026-08-13T06:00:00+00:00,21.44,41.45
Telavi,41.3333,43.2195,2026-08-13T07:00:00+00:00,12.89,70.88
Kutaisi,42.2297,43.1747,2026-08-13T08:00:00+00:00,20.58,75.4
Tbilisi,41.1501,44.1876,2026-08-13T09:00:00+00:00,9.53,76.08
Batumi,42.9056,41.7139,2026-08-13T10:00:00+00:00,19.3,74.69
Tbilisi,41.2525,42.18,2026-08-13T11:00:00+00:00,20.81,45.35
Tbilisi,42.2102,44.3953,2026-08-13T12:00:00+00:00,32.95,46.04
Tbilisi,42.1478,43.6473,2026-08-13T13:00:00+00:00,10.92,65.47
Batumi,42.921,41.1296,2026-08-13T14:00:00+00:00,2.44,56.24
Tbilisi,41.5236,42.3014,2026-08-13T15:00:00+00:00,12.85,89.75
Kutaisi,42.388,45.9931,2026-08-13T16:00:00+00:00,3.01,29.5
Tbilisi,41.9041,45.4934,2026-08-13T17:00:00+00:00,12.8,26.15
Kutaisi,42.3357,44.5477,2026-08-13T18:00:00+00:00,17.0,40.33
Kutaisi,42.7027,44.559,2026-08-13T19:00:00+00:00,32.09,64.64
Kutaisi,42.0175,41.6068,2026-08-13T20:00:00+00:00,3.04,29.72
Telavi,41.0526,43.7701,2026-08-13T21:00:00+00:00,9.76,76.26
Batumi,42.2239,41.4311,2026-08-13T22:00:00+00:00,7.37,89.97
Telavi,42.0514,44.8458,2026-08-13T23:00:00+00:00,27.93,25.16
Kutaisi,42.2847,43.2499,2026-08-14T00:00:00+00:00,22.2,44.12
Batumi,42.5356,41.6452,2026-08-14T01:00:00+00:00,15.11,80.77
Tbilisi,42.0362,42.5206,2026-08-14T02:00:00+00:00,1.48,85.43
Batumi,41.692,45.7045,2026-08-14T03:00:00+00:00,30.8,79.22
Kutaisi,41.3926,45.7818,2026-08-14T04:00:00+00:00,5.98,63.75
Tbilisi,42.0051,41.8432,2026-08-14T05:00:00+00:00,32.66,30.79
Kutaisi,42.6851,43.8181,2026-08-14T06:00:00+00:00,28.01,21.99
Tbilisi,42.8971,44.8551,2026-08-14T07:00:00+00:00,5.59,34.76
Telavi,42.2362,41.1514,2026-08-14T08:00:00+00:00,30.56,58.19
Kutaisi,41.9659,45.0234,2026-08-14T09:00:00+00:00,22.4,40.82
Tbilisi,42.3772,41.7904,2026-08-14T10:00:00+00:00,11.62,52.51
Kutaisi,42.2133,42.5629,2026-08-14T11:00:00+00:00,23.73,71.39
Kutaisi,42.9507,41.6538,2026-08-14T12:00:00+00:00,9.82,59.32
Kutaisi,41.4835,41.6126,2026-08-14T13:00:00+00:00,12.98,29.86
Tbilisi,41.5804,42.9207,2026-08-14T14:00:00+00:00,19.62,37.38
Batumi,42.627,45.6688,2026-08-14T15:00:00+00:00,23.85,33.29
Batumi,41.9965,43.5736,2026-08-14T16:00:00+00:00,14.95,41.6
Tbilisi,41.1801,42.9662,2026-08-14T17:00:00+00:00,13.29,36.85
Kutaisi,41.0973,42.4068,2026-08-14T18:00:00+00:00,18.9,79.0
Telavi,41.5715,41.0409,2026-08-14T19:00:00+00:00,-0.7,29.38
Kutaisi,42.455,44.8193,2026-08-14T20:00:00+00:00,9.64,48.04
Batumi,41.725,42.443,2026-08-14T21:00:00+00:00,10.45,51.52
Kutaisi,42.6506,44.1162,2026-08-14T22:00:00+00:00,19.44,29.01
Tbilisi,41.7878,44.9745,2026-08-14T23:00:00+00:00,8.56,85.73
Batumi,41.3981,43.5456,2026-08-15T00:00:00+00:00,15.0,23.17
Batumi,42.4272,45.0198,2026-08-15T01:00:00+00:00,15.77,30.43
Batumi,41.6559,44.0653,2026-08-15T02:00:00+00:00,1.5,89.34
Kutaisi,42.1874,43.5366,2026-08-15T03:00:00+00:00,15.39,54.29
